Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Local Efficiency,Connectivity Strength,Connectivity Diversity,Central Energy,Non-Gaussianity
3,1,"(-4.0, 8.0, 72.0)",0.489,0.029,0.097,0.202,Left,0.472,0.324,0.964,1.0,0.287,0.035,9990833983.582672,315.00312633898704
3,2,"(0.0, -102.0, 2.0)",0.182,0.012,-0.119,0.449,Right,0.561,0.474,0.962,1.0,0.434,0.032,28814626803.16328,315.0031327737114
3,3,"(-40.0, -54.0, 58.0)",0.102,0.017,0.284,0.196,Left,0.426,0.296,0.971,1.0,0.267,0.046,40344061597.87626,315.00313308248604
3,4,"(-2.0, 66.0, 20.0)",0.058,0.025,0.728,0.901,Left,0.404,0.247,0.975,1.0,0.222,0.035,56802572465.39607,315.00312995903005
3,5,"(-24.0, -38.0, 80.0)",1.135,0.016,0.089,0.196,Left,0.42,0.31,0.98,1.0,0.29,0.03,6522809696.028046,315.0031220216155
3,6,"(56.0, 16.0, 40.0)",0.09,0.019,-0.293,0.409,Right,0.398,0.238,0.976,1.0,0.213,0.042,35136833393.803085,315.003132507806
3,7,"(10.0, -34.0, -58.0)",0.889,0.092,0.403,0.189,Right,0.463,0.52,0.972,1.0,0.492,0.033,51810085097.30351,315.00307377465145
3,8,"(6.0, -84.0, 34.0)",0.001,0.02,0.242,0.473,Right,0.537,0.442,0.974,1.0,0.416,0.033,38793884956.783325,315.0031336248763
3,9,"(26.0, 72.0, -4.0)",0.444,0.011,-0.186,0.265,Left,0.455,0.385,0.983,1.0,0.368,0.037,13162504574.560556,315.00312961452687
3,10,"(8.0, 62.0, 38.0)",0.773,0.025,0.046,0.095,Right,0.466,0.378,0.97,1.0,0.346,0.027,12382040493.285667,315.00313165418606
3,11,"(-38.0, 12.0, -22.0)",0.14,0.082,0.105,0.311,Right,0.539,0.422,0.983,1.0,0.404,0.037,65050981689.61282,315.00311591176484
3,12,"(-24.0, -94.0, 26.0)",0.066,0.02,-0.275,0.363,Right,0.456,0.258,0.962,1.0,0.218,0.046,29274455262.065727,315.0031322625449
3,13,"(-64.0, -48.0, 26.0)",0.092,0.01,0.311,0.588,Left,0.348,0.231,0.982,1.0,0.213,0.053,37430046193.99811,315.0031341026433
3,14,"(-44.0, -80.0, -44.0)",0.56,0.036,0.008,0.198,Left,0.399,0.274,0.971,1.0,0.244,0.034,8787326406.943375,315.00313304501145
3,15,"(14.0, 46.0, -26.0)",0.538,0.01,0.321,0.295,Left,0.433,0.309,0.978,1.0,0.287,0.032,11079225448.85749,315.0031298485771
3,16,"(-46.0, -2.0, -6.0)",0.061,0.082,-0.092,0.142,Left,0.566,0.444,0.986,1.0,0.43,0.032,50636821796.81424,315.0031294100705
3,17,"(22.0, -26.0, -40.0)",0.366,0.094,0.175,0.063,Right,0.477,0.335,0.98,1.0,0.314,0.033,42053361360.65717,315.0031193824159
3,18,"(62.0, 2.0, -2.0)",0.124,0.01,-0.048,0.049,Right,0.373,0.281,0.972,1.0,0.252,0.034,24533073772.221123,315.0031337458623
3,19,"(-52.0, 4.0, 40.0)",0.113,0.012,0.275,0.4,Left,0.37,0.238,0.984,1.0,0.222,0.044,31761262441.690823,315.003133646779
3,20,"(50.0, -70.0, 30.0)",0.04,0.01,-0.618,0.756,Right,0.356,0.268,0.979,1.0,0.246,0.055,35812705890.2034,315.003134360097
3,21,"(-14.0, -6.0, -22.0)",0.27,0.094,0.098,0.171,Right,0.505,0.37,0.975,1.0,0.344,0.032,27707118020.20334,315.00312214581083
3,22,"(44.0, 44.0, 26.0)",0.051,0.02,-0.555,0.642,Right,0.273,0.156,0.976,1.0,0.131,0.042,29413183207.787384,315.00312927474505
3,23,"(-6.0, 0.0, 10.0)",0.303,0.064,1.43,0.346,Left,0.712,0.608,0.986,1.0,0.594,0.033,68900575185.3848,315.0031260006545
3,24,"(14.0, -38.0, 86.0)",0.782,0.021,0.096,0.193,Left,,,0.972,1.0,,,597786090.0133749,315.00312879961484
3,25,"(14.0, -28.0, 88.0)",0.671,0.027,-0.809,1.0,Right,,,0.972,1.0,,,328578077.92157674,315.00312621652654
3,26,"(10.0, -110.0, 0.0)",0.555,0.012,-0.198,0.074,Left,0.627,0.603,0.982,1.0,0.585,0.029,2607473082.1379533,315.00300191557733
3,27,"(2.0, -80.0, 38.0)",0.039,0.023,-0.499,0.516,Right,0.467,0.285,0.972,1.0,0.256,0.054,41510748713.22426,315.0031325425054
3,28,"(-4.0, -48.0, 72.0)",0.167,0.01,0.105,0.185,Left,0.37,0.27,0.964,1.0,0.233,0.042,59371990268.81965,315.00313369766945
3,29,"(30.0, 64.0, -20.0)",0.451,0.01,0.151,0.319,Right,0.646,0.547,0.985,1.0,0.531,0.03,8566632847.728647,315.0030707212522
3,30,"(-10.0, -34.0, -14.0)",0.155,0.067,0.136,0.076,Right,0.433,0.269,0.976,1.0,0.244,0.051,57558954336.02752,315.00313213765287
